с/т 69426|11.189 6723 ['сфæлынддзысты', 'дегустацимæ",', 'эстерсунды', 'постытӕ.', 'историимӕ"', 'раздæхтысты', 'сталинградаг,', 'ахастыл', 'бӕстыхӕйттӕн', 'хæстимæ']
н/г 8218|1.324 1293 ['æхсæнгæрзтæй', 'донифтонгад', 'холдинг', 'базонгæйæ', 8218, 'митинг,', 'фенгӕ', 'зынгимӕ', 'спайдакæнгæйæ.', 'къœпхœнгай']
н/в 8172|1.317 415 ['саакянцхинвал—степанакерт:', '"инвестпрограммæйы', 'цхинвалмæ', 'цхинвайлӕгтӕй', 'рюоцхинвалы', 'инвестпрограммӕмæ.', 'цхинвалы11', 'энвер', 'январмæ', 'инвестициты']
н/ц 8110|1.307 1255 ['ӕнцондӕр', 'лӕууынц', 'æмбулынц', 'зынынц', 'акæнынц,', 'слӕууынц.', 'хунцин', 'кронпринцæн', 'ӕмбарынц,', 'лӕууынц,']
ц/х 7282|1.174 219 ['цхинвал-хъалцентӕйыл', 'цхинвалмæ', 'соцхызæджыты', 'алан.цхинвалы', 'цхинвалыы', 'соцхызæгты.', 'цхинвайлӕгтӕй', 'цхинвал"-ы', 'плитыцхинвалы', 'цхуырбайы']
з/т 7268|1.171 939 ['хъӕзтыты-2012', 'протезты', 'раирвӕзтӕ?".', 'аирвӕзтысты', 'æрдæгарæзтæй', 'капризтӕ', '‘сфæрæзта,', 'къабӕзтӕй', 'æзты', 'хъӕзтытӕм.']
м/б 7115|1.147 1277 ['æмбардгонд', 'сымбæлдысты', 'æмбырдгæндты.', 'ӕмбонд.', 'æмбаладады', 'фембæлд,', 'бамбӕрздзысты', 'ӕрӕмбырд', 'æмбулынц', "'мбарын,"]
л/д 6900|1.112 701 ['сымбæлдысты', 'змæлды', 'фехæлдæй,', 'фылдӕрӕн', 'малдаваг', 'æрæвнæлдой', 'холдинг', 'фембæлд,', 'сфӕлдыстад,', 'азылдысты']
с/г 6128|0.988 523 ['фехъусгæйæ,', 'бафысгæ', 'басгӕрсты', 'ӕнӕкӕсгӕйӕ.спикер:', 'сгарджытæй",', 'басгæрстмæ', '"басгӕрсты', 'хосгæнæндон', 'кӕсгӕйӕ', 'исгæйæ']
р/м 6116|0.986 916 ['эфирмӕ', 'æрмæджы', 'армыдзыхъхъ', 'реформӕтӕ', 'хæдзармæ:', 'формалондзинӕдтӕ', 'изолятормӕ', '"чермен".', 'ӕрмӕджытӕ', 'нонконформистстон']
х/с 6060|0.977 806 ['"зӕрдӕхсайгӕ",', 'æхсæнгæрзтæй', 'æхсæнадон-ленкгæнæн', 'ʻсрухс', 'æрцахсын.', 'ӕхсыны', 'ӕхсӕрдӕсаздзын', "'хсæн", 'ӕхсæнхицауадон', 'æхсæвы,']
б/л 5904|0.952 417 ['проблемæмæ.', 'проблемӕтӕ?', 'проблемӕмӕ', 'библиотекӕ.', 'проблемӕтимӕ', 'проблемӕтыл.', 'проблемæйыл', 'блокы,', 'люблянайы', '"проблемы']
к/т 5903|0.951 1051 ['структурæ,', 'актертӕн.', 'критиктӕ', 'спектакльты', 'викторияйы', 'инструктортæ', 'пиротехниктæ,', 'политикты', 'коллективты.', 'структурæтæн']
р/х 5799|0.935 950 ['ӕмархайды', 'архæйдтытæн', 'тæрхонондонон', 'ӕрхӕццӕ,', 'тӕрхонагъоммӕ', 'мархомæ.', 'æмархайдыл,', 'æрхæджытæ', 'патриархимӕ,', 'тæрхондон']
ф/т 5706|0.92 720 ['æфтауæм', 'электроифтонгадæй', 'донифтонгад', 'кафтытӕ,', 'ифтоггарз', 'æфтыд', 'ифтонггарзæй.', 'ифтонггæнджыты', 'энергоифтонгады', 'сулæфты']
с/л 5427|0.875 665 ['асламдӕр.', 'пресс-службӕйы.тыбылты', 'бацис.пресс-служба', 'вячеслав.', 'владиславæй', 'ацыдыл.пресс-служба', 'службӕйон', 'службӕгӕнӕджы.', 'органы.пресс-служба', 'пресс-службæ']
д/д 5026|0.81 457 ['хъуыддагмӕ.', 'ӕддӕмӕ,', 'æфсæддон-партиотикон', 'ныддæрæнгæнгæйæ', 'хъуыддӕгтӕй', 'сырхæфсæддон', 'раддæр', 'хъуыддӕгтӕ', 'чиддæриддæр', 'хъуыддагӕн']
р/г 4980|0.803 923 ['организацитимæ",', 'ахуыргæнæг.', 'органикон', 'агургæйæ:', 'маргӕ.', 'тæргæйтты', 'ӕргӕвдӕн.', 'организатортӕй.', 'зæгъгæ,"сæвзæргæ', 'техахуыргæнæндоны']
гъ/т 4944|0.797 167 ['дугътæ".', 'ӕруагъта', 'дугъты.', 'фæуагътой', 'ныууагътой,', 'бахыгътой', 'рауагътой.', 'загътам,', 'таурӕгъты', 'бауагъта,']
гъ/д 4721|0.761 530 ['тагъдад', 'цӕгъдынмӕ', 'сцӕгъдынц', 'æгъдæутты.', 'ныццæгъдой,', 'сыгъдæгдзинад', 'донсыгъдӕгкӕнӕн', 'сыгъдæгдæр', 'ныццагъдысты,', 'номхыгъд']
т/р 4591|0.74 820 ['трейлер.', 'традицитæ,', 'периметрыл.', 'тренировкæтӕ.', 'дмитрий', '"театр', 'патриархимӕ,', 'музыкалон-театралон', 'автотранспортон', 'тринировкæты']
п/п 4520|0.728 752 ['цыппарварсон', 'ӕппары,', 'сӕраппонд.', 'хъӕппӕрисӕй.', 'раппæлын', 'зӕппадзы', 'ӕппӕрста', 'хъæппæристæ,', 'хъæлæсæппæрст', '"ӕппæт']
с/т/р 4494|0.724 433 ['структурæ,', 'регистрацийыл.сайт', 'министрӕды', 'министры', 'магистралыл', 'индустриалон', 'структурæтæн', 'администрациимæ.', 'быстрее,', '"дорэкспострой"-имæ,']
г/т 4230|0.682 1070 ['æмбæстæгтимæ', 'хызæгтæй', 'знӕгтыл.', 'хуызæгтæ', 'сылогоймӕгты', 'неапольӕгтӕм', 'хъуыддӕгтӕй', 'немцӕгтӕ', 'хъуыддӕгтӕ', 'педагогтæн']
в/з 4203|0.677 607 ['ӕвзаг', 'ʻвзонгæй', '‘взæрстагъоммæ', 'центрæвзæрсткъамимæ', '‘взонджы', 'фӕдӕвзӕрст', 'фыдæвзарæнтæ.', 'æвзагыл', 'взорванный', 'зæгъгæ,"сæвзæргæ']
л/л 4036|0.65 786 ['сывæллæтты.', 'ӕрдӕгмиллион', 'ныллæууын', 'абдуллины', 'коллективты.', 'бæллæхæй.', 'коллективæн', 'сывӕллӕттӕн', 'фӕллойӕн', 'зиллакк']
л/т 4019|0.648 597 ['пресс-службӕйы.тыбылты', 'богалтæн', 'фӕлтӕрты.', 'балтийы', 'сӕрвӕлтау",', 'валтасара,', 'рамбылта', 'кæуылты', 'разæууæлтæ', 'æууæлтæ']
н/дз 3987|0.643 677 ['хицӕндзинӕдтӕ', 'скæндзысты', 'бахъахъхъæндзæн', 'кæндзæн"?', 'формалондзинӕдтӕ', 'баныгæндзысты', 'балхæндзæн,', 'объективондзинад,', 'зындзинадӕй', '"зындзинӕдтӕм']
р/дз 3850|0.62 559 ['бардзырдтӕ', 'сæрибардзинадæй', 'гурдзиаг', 'сӕвӕрдзӕн', 'хæдбардзинадæн.', 'ахуырдзауӕй', 'азгъордзӕн', 'евроцæдис-гуырдзыстоны', 'ардзинбайы', '"гуырдзыстонӕн']
ц/ц 3756|0.605 240 ['фыццӕгӕм', 'ахӕццӕ', 'хӕццӕ', 'фыццагкъурсонтимæ', 'ныццыдысты', 'æвæццæгæн,', 'ӕрхӕццӕ,', 'ӕртыццӕг', 'æвӕццӕгӕн', 'фыццагкъласонтӕ']
р/з 3707|0.597 595 ['"хурзæрин"', 'ифтоггарз', 'ифтонггарзæй.', 'хæрзиуджытæ.', 'хӕрзарӕзтадон', 'хӕцӕнгарзы.', 'мæрзойты', 'ифтонггарзæн,', 'хæрз', 'уарзондзинадæй,']
р/д/т 3693|0.595 560 ['хордтой', 'бардзырдтӕ', 'скъӕрдта,', 'хъыгдардта', 'алæвӕрдтæ', 'дардтой",', 'ноггуырдты', 'радиоалæвæрдтӕ.', 'бадзырдтыл', 'æвæрдтой,']
р/с/т 3622|0.584 606 ['фарстамæ', 'фарстытæм",', 'барстой', 'басгӕрсты', '‘ркарстой,', 'ӕппӕрста', '‘взæрстагъоммæ', 'фӕдӕвзӕрст', 'хъæлæсæппæрст', 'байуæрстой']
й/д 3580|0.577 429 ['ӕмархайды', 'æмархайдыл,', 'майдантимӕ', 'ӕмархайдӕй",', 'райдыдтам!",', 'æмархайд', 'спайдакæнгæйæ.', 'майданмӕ', 'райдайынц', 'ӕвиппайды']
р/с 3570|0.575 734 ['цыппарварсон', 'курсанты', 'цæгатварс', 'персайнаг', '"барсаланкæтæ".', 'диверситы.', 'æрсидтæуыд', 'хъорсеумӕ,', '"конкурс-фестивальмæ', 'университетӕй.']
с/к 3499|0.564 740 ['скæндзысты', 'хуыцаумӕскуывдтӕ,', 'скульпторы', '"мӕскуыйаг"', 'гироскутерылхуссар', 'сандуцакрасносельский', 'скульптурæтæ', 'ск-ы', 'фӕскавказ', 'сколадзаутæ']
д/дз 3498|0.564 222 ['бафиддзысты', 'ӕрбаддзысты', 'æмпаддзахадон', 'сиддзæн', 'аскъуыддзаггӕнӕн', 'ӕнувыддзинад",', 'паддзахадты', 'ауаддзысты', 'ауаддзӕн', 'бауаддзысты']
й/т 3491|0.563 431 ['регистрацийыл.сайт', 'гадайты', 'рейтинг.', 'куыйты,', 'парламентарийтæм', 'сайтыл', 'къайтӕ', 'лидерæй.сайт', 'мæрзойты', 'ди-джейты']
ф/с 3252|0.524 389 ['‘фсымæртимæ', 'æфсæддон-партиотикон', 'сырхæфсæддон', 'æфсæрмыгæнгæйæ.', 'ӕфсӕддонтӕм', 'ныфсытæ', 'ӕфсинтӕй', 'бафсæдæт.', '′фсад', 'æфс']
н/м 3195|0.515 785 ['донмæ,', 'рамбулынмӕ', 'бӕрӕгбонмӕ",', 'сомихстонмӕ",', 'цӕгъдынмӕ', 'базмæнтынмæ.', 'кувынмӕ', 'нывкæнынмæ.из', 'рауадзынмæ', 'нысанмæ.']
в/д 3162|0.51 631 ['æвдисæн",', 'адавдӕуыд.', 'ӕргӕвдӕн.', 'facebookравдыст', 'авдæн,', 'æрбавдисдзысты', 'æргъæвд', 'ӕвдисӕнты"', 'фӕлывдӕй', 'скуывды']
з/д 3050|0.492 585 ['нысанæздæхт,', 'раздӕхдзӕн', 'хуыздæр', 'раздæрау', 'аздæхт', 'здӕхӕны,', 'аздахын.', 'аздахдзысты.', 'фездæхтмæ', 'раздахдзысты']
й/н 3010|0.485 368 ['фотохуссарирыстойнаг', '"хъобайнаг', 'милайнаг', 'персайнаг', 'испайнаг-французаг', 'ирайнаг', 'цӕвиттойнаг.', 'война".', 'хуссарирыстойнаг-уæрæсейаг', 'хуссарирыстойнаг-уӕрӕсейаг']
х/т 2837|0.457 547 ['нысанæздæхт,', 'саулохты', 'уахтанамӕ', 'аздæхт', 'хотыхтӕ', '"къуылыхты', 'тыхтимæ,', 'уӕлибӕхтӕ"', 'скъæхтытæ', 'афæлдæхта']
ж/б 2831|0.456 290 ['службæтæн.', 'пресс-службӕйы.тыбылты', 'бацис.пресс-служба', 'службæгæнджыты', 'æмслужбæгæнæджынады', 'аразын.пресс-служба', 'службӕгӕнӕг', 'хайадисджытимӕпресс-служба', 'пресс-службӕйы.уӕрӕсейы', 'гуырахст.пресс-служба']
с/къ 2792|0.45 339 ['скъолай', 'скъӕрдта,', 'скъолайы".', 'аскъуыддзаггӕнӕн', 'скъола",', 'скъæхтытæ', 'скъуыды.', '‘скъуыддзаг', 'сыскъуынын', 'скъӕтты']
р/н 2742|0.442 541 ['уырныдта', 'удварны', 'бӕрнон', 'торнике', '"литературная', 'интернет-бастдзинадæй.', 'попкорн', 'уырнынады,', 'фарнæй.', 'тырнынц']
р/дж 2729|0.44 328 ['мурджайæн', 'фæдагурджытæ', 'æвзарджыты,', 'цӕрджытӕн.', 'ныййарджытӕ.', 'сгарджытæй",', 'зарджытæ.', 'цæрджыты.', 'æххæстбарджыны', 'орджоникидзейы']
й/р 2685|0.433 379 ['айриянхъырымаг', 'сæйрагдæрыл', 'хуссайрагдӕр', 'хъӕрӕсейаг-балхъайраг', 'сæйраджыдӕр', 'райрӕзт",', 'райрæзтыл.', 'райрӕзты', 'айриянминистр:', 'айриян"мегафон']
к/к 2643|0.426 364 ['ныккалдзысты', 'биазартидзӕуджыхъӕуккаг', 'æртыккаг', 'астӕуккагзаманты', 'зиллакк', 'кодтаиккой,', 'дыккӕгтӕ', 'даккаг', 'ʻртыккаг', 'аивиккой']
р/б 2617|0.422 695 ['æрбаконд.', 'æрбаласы', 'æрбавдисдзысты', 'æрбацæуджытӕй', 'æрбакодтон', 'арбитражон', 'ӕрбаластмӕ,', 'ӕрбацыдӕй', 'æрбаласт', '"ӕрбалæугæ']
н/дж 2529|0.408 637 ['ӕлхӕнджытӕн', 'амалиуæггæнджытæ', '‘взонджы', 'хынджылӕг', '′мгуыстгæнджыты', 'ифтонггæнджыты', 'протестгæнджытæ.', 'слестгӕнджытӕ', 'дидинджыты', 'арæнхъахъхъæнджытæн']
з/м 2450|0.395 377 ['размæцыдæн",', 'туризм",', 'змæлды', 'азмы', 'гауызмæ', 'базмæнтынмæ.', 'экстремизмы', 'змӕстытӕ', 'базмæлыд', 'уæзмæ.']
б/р 2435|0.392 339 ['бразилиаг', 'сентябрь,19:00', '"брытъат,', 'эльбрус.', 'брюсселӕй.', 'бронзæйæ', 'брест,', 'декабрь,16:00', 'ноябры', 'ноябры,']
р/гъ 2396|0.386 284 ['аргъæутты', 'аргъимæ.', 'фӕзынаргъ', 'æнæаргъ', 'аргъыл', '"дæргъæвс-', 'ӕндӕргъуызон,', 'сæргъ.', 'æнæаргъæй', 'аргъуан",']
г/р 2377|0.383 612 ['"град"-æй.', 'графикӕй', 'гранатæ,', 'программӕтыл', '"инвестпрограммæйы', 'агрессийӕн', '"программæмæ', 'греко-римаг', 'инвестпрограммӕмæ.', 'мигрантты']
й/м 2376|0.383 347 ['нӕлгоймагмӕ', 'планетариймӕ,', 'сылогоймӕгты', 'адӕймагыл', 'бӕстыхаймӕ.', 'таймуразы.', 'гоймӕгтӕ.', 'адæймæгтæ,', 'адæймаг".', 'адӕймагыл",']
с/дж 2369|0.382 284 ['чиныгкӕсджытӕ', 'хайадисджыты,', 'кусджытӕ', 'кӕсджытӕ.', 'хӕсджынты', 'кусджытӕм', 'пенсиисджытæн,', 'кусджытœ', 'хӕрисджын,', 'аххосджын","азау']
д/м 2337|0.377 496 ['дæлхайадмæ', 'дмитрий', 'людмилæйæн', 'администрациимæ.', 'дмитрий.паломники', 'уæдмæ-иу', 'арӕзтадмӕ,', 'хайадмæ', 'дмитриимӕ', 'фыццагадмæ.']
к/с 2291|0.369 312 ['боксер"', 'бокса', 'боксертæн', '"александровский', 'боксертимæ', 'максимум",', 'мультиплексы', '"астерикс.земля', 'экс-прокуроры', 'боксеры,']
м/п 2244|0.362 382 ['симпозиум', 'компани",', 'компоттæ', 'кампани,', 'компани', 'компьютерон', '(олимпиадӕмӕ)', 'температурӕ,', 'чемпионаnы', 'империйӕн,']
р/л 2216|0.357 270 ['тамерлан', '"орленок"-ы', 'тамерланы,', 'берлины,', 'парламентарийтæм', 'парламентмæ', 'ӕрласт', 'мокрушинпарламенты', 'ӕрласгӕ', '"орленок"-мæ']
хъ/хъ 2212|0.357 332 ['армыдзыхъхъ', 'бахъахъхъæндзæн', 'бахъахъхъӕнны', 'ӕрдӕгхъахъхъӕнӕг', 'цырыхъхъытæ', 'арæнхъахъхъæнджытæн', 'хъахъхъӕнын",', 'хъахъхъӕндзысы', 'хъахъхъæнджытæн', 'бахъахъхъӕндзысты']
р/в 2202|0.355 538 ['цыппарварсон', 'раирвӕзтӕ?".', 'аирвӕзтысты', 'ӕрвылкъуырион', 'арвитæм', 'взорванный', 'сӕрвӕлтау",', 'æрвылазон', 'арвыстой', 'зынирвæзтты']
р/гъ/л 2151|0.347 87 ['сæргълæудæй.', 'сӕргълӕууӕгӕй.', 'сӕргълӕуджытӕн.', 'сæргълæудæй', 'сӕргълӕуджытӕм",', 'сӕргълӕуӕдӕй', 'сӕргълӕуджытӕ,', 'сæргълæуджытæ', 'сӕргълӕууӕджы', 'сӕргълӕууӕг']
л/г 2131|0.343 414 ['хæдтулгæ,', 'нӕлгоймагмӕ', 'фӕлгонцтӕ', 'хъомылгӕнингӕтӕ', '"волга"', 'хъомылгæнинæгтæн.', 'фæлгонцтæй', 'хъомылгæнингæтӕ', '"сылгоймагмæ', 'фӕлгӕттты']
м/м 2051|0.331 427 [2051, 'программӕтыл', '"инвестпрограммæйы', 'агъоммæ', 'тӕрхонагъоммӕ', '‘взæрстагъоммæ', '"программæмæ', 'коммуникацитæ,', 'инвестпрограммӕмæ.', 'хӕстагъоммӕ']
г/г 1961|0.316 417 ['амалиуæггæнæгæн', 'амалиуæггæнджытæ', 'аскъуыддзаггӕнӕн', 'ноггуырдты', 'къухдариуӕггӕнӕг,', 'амалиуæггæнæг.', 'ифтоггарз', 'мыггæгтæй', 'цадӕггай,', 'смаггæнаг']
р/т/т 1874|0.302 372 ['концерттӕ', 'паспорттæй', 'хъизæмæрттæ".', 'бахъыгдæртта', 'минӕвӕрттӕм', 'бавӕртта,', 'дзуӕрттӕ,', 'минæвӕрттæ', 'минæвæрттимæ",', 'хабæрттæй']
з/дз 1860|0.3 350 ['18-27-аздзыд', 'ӕхсӕрдӕсаздзын', '44-аздзыд', '24-аздзыд', 'уæлахиздзау".', 'æхсæзаздзыдæй', '72-аздзыд', 'ныххиздзынæн', 'ӕнӕниздзинад,', '59-аздзыд']
в/г 1805|0.291 229 ['нывгæнæг-маралист', 'еремовгуырдзыстойнаг', 'сысоевгасситы', 'нывгӕнӕгимӕ', 'нывгӕнӕн', 'уæвгæйæ,', 'нывгӕнджытӕ.', 'аивнывгӕнӕг,', 'новгороды', 'нывгӕнӕг-ӕвӕрӕг']
р/д/д 1764|0.284 57 ['адарддӕр', 'цырддӕр', 'бæлвырддæрæй', 'дарддæры', 'дарддӕрдзу,', 'дарддӕр".', 'дӕрддӕр', 'ирддӕртӕ', 'дарддӕр,', 'дарддæр']
с/дз 1643|0.265 257 ['бавдисдзӕн', 'ӕвдисдзыстӕм', 'æрбахæсдзысты', 'бафысдзыстæм', 'æрхæсдзæн.', 'кусдзынӕ', 'аххӕсдзӕн,', 'мысдзысты', 'хӕсдзысты', 'ӕвдисдзӕн']
й/с/т 1624|0.262 79 ['рейстӕ', 'райстаин', 'райстаид', 'райста.', 'байст', 'райста,', 'айст', 'райстам,', 'райстай', 'райстой.']
х/м 1514|0.244 234 ['рахманинов', 'ныхмæлæууæгимæ', '"нынныхмæ"', 'ахметхановӕн', 'ныхмæлæууæг', 'тохмæ', 'шахматисттæн', '"ныхмӕлӕуды', 'ныхмӕлӕудмӕ', 'сымахмӕ']
х/с/т 1505|0.243 294 ['бафæдзæхста', 'арæхстысты",', 'ахста,', 'æрцахстуæвджыты', 'рагфæдзæхст,', 'сомихстонмӕ",', 'гуырахст.пресс-служба', 'сомихстонӕй.', 'рацахстой', 'æмбæхстой']
г/д 1478|0.238 244 ['уагдæттæ?', 'сæйрагдæрыл', 'сæйрагдæр.', 'хъыгдардта', 'уагдӕттӕн.', 'уазӕгдоныл', 'бахъыгдæртта', 'мӕстагдӕр', 'уагдон', 'хуссайрагдӕр']
в/т 1476|0.238 410 ['автоматы,', 'коллективты.', 'раивтой,', 'архивтæ', 'автотранспортон', 'ӕргъӕвтой', 'автомашинæйыл",', 'автоматизацийы', 'филипповтедеты', 'автотур']
й/г 1418|0.229 200 ['"зӕрдӕхсайгӕ",', '"райгуырæн', 'айгӕрдыны', 'хæдархайгæйæ', 'айгӕрдын.', 'байгоммæ.', 'баззайгӕ', 'райдайгӕйӕ.', 'амайгæйæ', 'айгӕрдынӕн,']
н/н 1396|0.225 318 ['тоннель', 'туннелы', 'бахъахъхъӕнны', 'доннайӕн', 'взорванный', 'тоннелыл', 'тоннелæн', 'теннис', 'карело-финнаг,', 'аннæ.']
н/ф 1378|0.222 161 ['информацимæ', 'айриянфыдӕлты', 'видеоконференцбастдзинады', 'пресс-конференцийыл', 'информатикӕйӕ.', 'инфекцийы', 'нонконформистстон', 'информационный', 'информагентад', 'акинфеев']
в/л 1363|0.22 134 ['"владислав', 'управленимӕ.', 'влодарчикы,', 'владиславæй', 'влад,', 'кузовлев.', 'управление', 'управленийы:', 'владикавказацæгат', 'управленийӕн,']
н/т/т 1362|0.22 375 ['абитуриенттӕ', 'нысæнттæ?', 'музыкантты,', 'мигрантты', '‘студенттӕн', 'таланттæ', 'музыканттæ",', 'медикаменттӕй.', 'пациентты",', 'пациенттæ']
с/т/т 1355|0.218 381 ['туристтæ.', 'посттæ,', 'посттӕ', 'хуызисттӕ', 'артиллеристтӕ', 'туристтæн.', 'журналисттӕй.', 'журналисттæ,', 'хуызисттæй', 'террористтӕн']
з/н 1348|0.217 252 ['бузныгдзинад.', 'знон', 'хæзнатæй', 'знӕгтыл.', '"россельхознадзор"-ӕн', '"знауыры', 'бузныг', 'уазнывмӕ', 'хъæзныг:', 'уизнейлы']
п/л 1314|0.212 249 ['дипломтӕ,', 'дипломатийы', 'плавийы', 'дисциплинӕты,', 'планетарийы', 'планетариймӕ,', 'плиевадыууӕ', 'план', 'дипломанттæ', 'диплом,']
л/м 1311|0.211 255 ['"цатыр","алмас",', 'тӕлмацгӕнӕджы', 'мемориалмæ.', 'фæлмæн', 'цхинвалмæ', 'бафæлмæца.', 'апрелмӕ",', 'ӕрдӕгфиналмӕ.', 'тæлмацгæнджытæм', 'кæлмытæ".']
л/в 1309|0.211 211 ['фӕлварӕнмӕ,', 'уӕлвӕткӕй,', 'рабӕлвырд', 'сбæлвырд', 'алвыныны', 'фӕлвӕрдтытӕ', 'фæлварын.', 'бафӕлварис', 'фæлвæрдæн.', 'бæлвырдад']
н/к 1300|0.21 376 ['панкиссы', 'æууæнкаг', 'банкӕйӕн', 'танкӕтӕ', 'захарченко.', '"барсаланкæтæ".', 'нонконформистстон', '"конкурс-фестивальмæ', 'банкоматтӕ', 'танкӕты']
н/с 1290|0.208 306 ['шанс', 'диспансеризацимӕ', 'консуладмӕ?', 'резонансон.', 'спонсортӕ', 'диспансерон', 'пенситы', 'консулон', 'ансамбль', 'сенсаци,']
х/д 1270|0.205 179 ['къухдариуӕгадмæ', 'къухдариуæггæнджытæй,', 'къухдариуæггæнæджы.', 'къухдариуæггæнæгæн', 'паддазахдон', 'фӕуӕрӕхдӕр.', 'къухдӕриуӕгад', 'къухдариӕгад', 'къухдариуӕггӕнӕг,', 'къухдаиуӕгадӕй']
к/р 1248|0.201 353 ['кремлаг', 'экран"-ы', 'краю"-йы', 'критиктӕ', 'критикӕйы', 'краныл', 'микрофонтӕ,', 'сандуцакрасносельский', 'эндокринон', 'краснодарӕй']
й/с 1239|0.2 194 ['къуайса', 'къуайсаимæ', 'къуайсамӕ.', '"скайсенд",', 'айсынц', 'къуайсайаг', 'райсомӕй', 'тайсауты', 'ӕрбайсӕфты', 'байса']
в/к 1232|0.199 291 ['отставкӕ', 'кавказы', 'тренировкæйæ', 'тренировкæтæн', 'нывкæнынад.', '"кавказыл"', 'тренировкæтӕ.', 'кавказзонджыты', 'тренировкӕтӕм,', 'тренировкæтæн,']
с/ф 1218|0.196 235 ['сфыстмӕ', 'ʻсфæлдыстады', 'хъисфæндыр', 'сфӕлдыстадыл,', 'тропосферон', 'атмосферӕ', '‘сфæрæзта,', 'сфæлынддзысты', '‘сфӕлдыстад', 'сфӕлынддзысты']
к/ц 1210|0.195 274 ['дирекцийы"', 'лекциты', 'редакциsputnik', 'рекцийӕн,', 'секцитæй,', 'реакцимӕ.', 'вакцинæйы', 'онг.акци', 'инфекцийы', 'лекцитӕ,']
й/й 1186|0.191 247 ['ныййарджытӕй,', 'ныййарæджы', 'зианбаййафджытæ', 'ӕййафӕм.', 'вæййынц",', 'ныййарӕгӕн,', 'ныййарджытимæ,', 'вæййынц', 'хаййы', 'клеййæ,']
л/т/т 1184|0.191 121 ['мадзæлттæ', '′мбӕлттӕм', 'журнӕлттӕм.', 'мадзæлттæ:', '"мадзӕлтты', 'æмбæлттимæ', '‘мбæлттæн', 'мадзæлттæм', 'мадзӕлттӕй.', 'мадзӕлттӕн']
в/р 1164|0.188 241 ['реставратор', 'ставрополӕй', 'ковалеврæмонаты', 'реставраторты', 'время.', 'динозавре"12:20', 'февраль-марты', 'ставраполь,', 'реставрацимӕ.', 'реставраторы,']
н/т/р 1160|0.187 145 ['контролыл', 'центрæвзæрсткъамимæ', 'центры"', 'контрабандӕйы', 'контракттæ', 'интригӕ', 'центрæвзарæнкъамы', 'центримæ",', 'контролгӕнӕг', 'эпицентр']
